term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0002239,response to oomycetes,0.00%,-3.5686,0.808,0.535,induced systemic resistance
GO:0010225,response to UV-C,0.00%,-3.1192,0.818,0.561,induced systemic resistance
GO:0002752,cell surface pattern recognition receptor signaling pathway,0.00%,-2.5768,0.748,0.561,induced systemic resistance
GO:0009413,response to flooding,0.00%,-2.5751,0.752,0.593,induced systemic resistance
GO:0009723,response to ethylene,0.01%,-2.4123,0.762,0.603,induced systemic resistance
GO:0032355,response to estradiol,0.01%,-2.5751,0.758,0.641,induced systemic resistance
GO:0034059,response to anoxia,0.00%,-2.5591,0.802,0.656,induced systemic resistance
GO:0009817,"defense response to fungus, incompatible interaction",0.00%,-2.4828,0.766,0.664,induced systemic resistance
GO:0071417,cellular response to organonitrogen compound,0.09%,-2.699,0.707,0.689,induced systemic resistance
GO:0071219,cellular response to molecule of bacterial origin,0.03%,-2.3116,0.692,0.692,induced systemic resistance
GO:0009987,cellular process,63.78%,-2.8996,0.99,0,cellular process
GO:0010275,NAD(P)H dehydrogenase complex assembly,0.00%,-2.4962,0.865,0.015,NAD(P)H dehydrogenase complex assembly
GO:0033108,mitochondrial respiratory chain complex assembly,0.06%,-2.2874,0.826,0.5,NAD(P)H dehydrogenase complex assembly
GO:0006801,superoxide metabolic process,0.14%,-2.8013,0.941,0.039,superoxide metabolism
GO:2000011,regulation of adaxial/abaxial pattern formation,0.00%,-2.8386,0.875,0.04,regulation of adaxial/abaxial pattern formation
GO:0048339,paraxial mesoderm development,0.00%,-2.7799,0.874,0.375,regulation of adaxial/abaxial pattern formation
GO:0010623,programmed cell death involved in cell development,0.01%,-2.0311,0.862,0.375,regulation of adaxial/abaxial pattern formation
GO:0010172,embryonic body morphogenesis,0.01%,-2.1284,0.891,0.412,regulation of adaxial/abaxial pattern formation
GO:0010073,meristem maintenance,0.01%,-2.1746,0.881,0.535,regulation of adaxial/abaxial pattern formation
GO:0051216,cartilage development,0.04%,-2.1284,0.871,0.605,regulation of adaxial/abaxial pattern formation
GO:0080157,regulation of plant-type cell wall organization or biogenesis,0.00%,-2.7825,0.936,0.096,regulation of plant-type cell wall organization or biogenesis
GO:1903648,positive regulation of chlorophyll catabolic process,0.00%,-2.7799,0.811,0.098,positive regulation of chlorophyll catabolism
GO:0060147,regulation of posttranscriptional gene silencing,0.01%,-2.5834,0.867,0.152,positive regulation of chlorophyll catabolism
GO:0010136,ureide catabolic process,0.00%,-2.0259,0.866,0.334,positive regulation of chlorophyll catabolism
GO:0033310,chlorophyll a catabolic process,0.00%,-2.1238,0.856,0.593,positive regulation of chlorophyll catabolism
